source          ,target
different       ,crowd
vote            ,human
vote            ,news
vote            ,crowd
state           ,human
state           ,news
state           ,crowd
end             ,human
end             ,news
end             ,crowd
day             ,human
day             ,news
affirm          ,human
affirm          ,news
affirm          ,crowd
joe             ,human
joe             ,news
joe             ,crowd
biden           ,human
biden           ,news
biden           ,crowd
20th            ,human
20th            ,news
20th            ,crowd
january         ,human
january         ,news
january         ,crowd
start           ,human
start           ,news
start           ,crowd
1100            ,human
1100            ,news
1100            ,crowd
morning         ,human
morning         ,news
morning         ,crowd
outside         ,human
outside         ,news
outside         ,crowd
white           ,human
white           ,news
white           ,crowd
house           ,human
house           ,news
house           ,crowd
rally           ,human
rally           ,news
rally           ,crowd
supporter       ,human
supporter       ,news
supporter       ,crowd
fly             ,human
fly             ,news
fly             ,crowd
united          ,human
united          ,news
united          ,crowd
ready           ,human
ready           ,news
ready           ,crowd
act             ,human
act             ,news
act             ,crowd
direction       ,human
direction       ,news
direction       ,crowd
tell            ,human
tell            ,news
tell            ,crowd
steal           ,human
steal           ,news
steal           ,crowd
extraordinary   ,human
extraordinary   ,news
march           ,human
march           ,news
march           ,crowd
man             ,human
man             ,news
man             ,crowd
woman           ,human
woman           ,news
woman           ,crowd
constitutional  ,human
constitutional  ,news
constitutional  ,crowd
duty            ,human
duty            ,news
duty            ,crowd
mark            ,human
mark            ,news
mark            ,crowd
hand            ,human
hand            ,news
hand            ,crowd
place           ,human
place           ,news
place           ,crowd
20              ,human
20              ,news
20              ,crowd
100             ,human
100             ,news
100             ,crowd
afternoon       ,human
afternoon       ,news
afternoon       ,crowd
large           ,human
large           ,news
large           ,crowd
crowd           ,human
crowd           ,news
crowd           ,crowd
arrive          ,human
arrive          ,news
arrive          ,crowd
I               ,news
capital         ,human
capital         ,news
capital         ,crowd
ii              ,human
ii              ,news
ii              ,crowd
people          ,human
people          ,news
people          ,crowd
trouble         ,human
trouble         ,news
trouble         ,crowd
45              ,human
45              ,news
45              ,crowd
glove           ,human
glove           ,news
glove           ,crowd
helmet          ,human
helmet          ,news
helmet          ,crowd
boot            ,human
boot            ,news
boot            ,crowd
lot             ,human
lot             ,news
lot             ,crowd
paramilitary    ,human
paramilitary    ,news
paramilitary    ,crowd
brigade         ,human
brigade         ,news
brigade         ,crowd
gun             ,human
gun             ,news
gun             ,crowd
storm           ,human
storm           ,news
storm           ,crowd
step            ,news
door            ,human
door            ,news
door            ,crowd
stench          ,human
stench          ,news
stench          ,crowd
tear            ,human
tear            ,news
tear            ,crowd
gas             ,human
gas             ,news
gas             ,crowd
way             ,human
way             ,news
way             ,crowd
deploy          ,human
deploy          ,news
deploy          ,crowd
sort            ,human
sort            ,news
sort            ,crowd
bear            ,human
bear            ,news
bear            ,crowd
mace            ,human
mace            ,news
mace            ,crowd
police          ,news
inside          ,human
inside          ,news
inside          ,crowd
add             ,human
add             ,news
add             ,crowd
manage          ,human
manage          ,news
shoot           ,human
shoot           ,news
shoot           ,crowd
sure            ,human
sure            ,news
sure            ,crowd
young           ,human
young           ,news
young           ,crowd
injure          ,human
injure          ,news
injure          ,crowd
report          ,human
report          ,news
report          ,crowd
network         ,human
network         ,news
network         ,crowd
confirm         ,human
confirm         ,news
confirm         ,crowd
teach           ,human
teach           ,news
teach           ,crowd
blood           ,human
blood           ,news
blood           ,crowd
trail           ,human
trail           ,news
trail           ,crowd
come            ,news
prepare         ,human
prepare         ,news
prepare         ,crowd
exactly         ,human
exactly         ,news
exactly         ,crowd
kick            ,human
kick            ,news
kick            ,crowd
hear            ,display device
hear            ,television program
little          ,display device
little          ,television program
president       ,display device
president       ,television program
trump           ,display device
trump           ,television program
remain          ,display device
remain          ,television program
power           ,display device
power           ,television program
let             ,display device
let             ,television program
remind          ,display device
remind          ,television program
viewer          ,display device
viewer          ,television program
13              ,display device
13              ,television program
14              ,display device
14              ,television program
day             ,display device
day             ,television program
minute          ,display device
minute          ,television program
statement       ,display device
statement       ,television program
short           ,display device
short           ,television program
clip            ,display device
clip            ,television program
I               ,businessperson
I               ,speaker
I               ,politics
I               ,official
I               ,politician
I               ,professional
know            ,businessperson
know            ,speaker
know            ,politics
know            ,official
know            ,politician
know            ,professional
pain            ,businessperson
pain            ,speaker
pain            ,politics
pain            ,official
pain            ,politician
pain            ,professional
hurt            ,businessperson
hurt            ,speaker
hurt            ,politics
hurt            ,official
hurt            ,politician
hurt            ,professional
election        ,businessperson
election        ,speaker
election        ,politics
election        ,official
election        ,politician
election        ,professional
steal           ,businessperson
steal           ,speaker
steal           ,politics
steal           ,official
steal           ,politician
steal           ,professional
landslide       ,businessperson
landslide       ,speaker
landslide       ,politics
landslide       ,official
landslide       ,politician
landslide       ,professional
especially      ,businessperson
especially      ,speaker
especially      ,politics
especially      ,official
especially      ,politician
especially      ,professional
home            ,businessperson
home            ,speaker
home            ,politics
home            ,official
home            ,politician
home            ,professional
peace           ,businessperson
peace           ,speaker
peace           ,politics
peace           ,official
peace           ,politician
peace           ,professional
law             ,businessperson
law             ,speaker
law             ,politics
law             ,official
law             ,politician
law             ,professional
order           ,businessperson
order           ,speaker
order           ,politics
order           ,official
order           ,politician
order           ,professional
respect         ,businessperson
respect         ,speaker
respect         ,politics
respect         ,official
respect         ,politician
respect         ,professional
great           ,businessperson
great           ,speaker
great           ,politics
great           ,official
great           ,politician
great           ,professional
people          ,businessperson
people          ,speaker
people          ,politics
people          ,official
people          ,politician
people          ,professional
want            ,businessperson
want            ,speaker
want            ,politics
want            ,official
want            ,politician
want            ,professional
anybody         ,businessperson
anybody         ,speaker
anybody         ,politics
anybody         ,official
anybody         ,politician
anybody         ,professional
tough           ,businessperson
tough           ,speaker
tough           ,politics
tough           ,official
tough           ,politician
tough           ,professional
period          ,businessperson
period          ,speaker
period          ,politics
period          ,official
period          ,politician
period          ,professional
time            ,businessperson
time            ,speaker
time            ,politics
time            ,official
time            ,politician
time            ,professional
like            ,businessperson
like            ,speaker
like            ,politics
like            ,official
like            ,politician
like            ,professional
thing           ,businessperson
thing           ,speaker
thing           ,politics
thing           ,official
thing           ,politician
thing           ,professional
happen          ,businessperson
happen          ,speaker
happen          ,politics
happen          ,official
happen          ,politician
happen          ,professional
away            ,businessperson
away            ,speaker
away            ,politics
away            ,official
away            ,politician
away            ,professional
country         ,businessperson
country         ,speaker
country         ,politics
country         ,official
country         ,politician
country         ,professional
hear            ,human
weave           ,human
message         ,human
home            ,human
time            ,human
notice          ,human
maintain        ,human
deny            ,human
rightful        ,human
legal           ,human
choice          ,human
whip            ,human
believe         ,human
overturn        ,human
person          ,human
set             ,human
aside           ,human
pat             ,human
donald          ,human
trump           ,human
winner          ,human
clear           ,human
matter          ,human
personal        ,human
loyalty         ,human
mr              ,human
pinch           ,human
continue        ,human
grind           ,human
inevitable      ,human
extremely       ,human
angry           ,human
speak           ,human
righteous       ,human
stand           ,human
tyranny         ,human
revolution      ,human
illegitimate    ,human
legitimate      ,human
force           ,human
moment          ,human
easy            ,human
think           ,human
sort            ,television
sort            ,display device
sort            ,television program
mob             ,television
mob             ,display device
mob             ,television program
outside         ,television
outside         ,display device
outside         ,television program
attempt         ,television
attempt         ,display device
attempt         ,television program
unseat          ,television
unseat          ,display device
unseat          ,television program
democracy       ,television
democracy       ,display device
democracy       ,television program
inside          ,television
inside          ,display device
inside          ,television program
congress        ,television
congress        ,display device
congress        ,television program
handful         ,television
handful         ,display device
handful         ,television program
republicans     ,television
republicans     ,display device
republicans     ,television program
try             ,television
try             ,display device
try             ,television program
overturn        ,television
overturn        ,display device
overturn        ,television program
result          ,television
result          ,display device
result          ,television program
tell            ,television
tell            ,display device
tell            ,television program
hear            ,television
significant     ,human
number          ,human
republicans     ,human
remember        ,human
big             ,human
mix             ,human
align           ,crowd
align           ,people
president       ,people
trump           ,crowd
trump           ,people
conservative    ,crowd
conservative    ,people
republican      ,crowd
republican      ,people
party           ,crowd
party           ,people
maintain        ,crowd
maintain        ,people
venerate        ,human
near            ,human
perfection      ,human
human           ,human
government      ,human
reach           ,human
trash           ,human
allow           ,human
painful         ,human
reince          ,human
priebus         ,human
chief           ,human
staff           ,human
domestic        ,human
terrorist       ,human
mitch           ,human
mcconnell       ,human
describe        ,human
poisonous       ,human
path            ,human
previously      ,human
supportive      ,human
lead            ,human
effort          ,human
prevent         ,human
impeach         ,human
uncomfortable   ,human
tonight         ,human
session         ,human
deadline        ,human
6th             ,human
defy            ,human
want            ,human
sit             ,human
night           ,human
david           ,human
thank           ,human
probably        ,human
thing           ,speech
kick            ,speech
know            ,speech
scene           ,speech
pretty          ,speech
volatile        ,speech
right           ,speech
let             ,speech
guess           ,speech
impact          ,speech
biden           ,speech
presidency      ,speech
democrats       ,speech
hope            ,speech
achieve         ,speech
republican      ,speech
party           ,speech
feel            ,speech
president       ,speech
join            ,speech
I               ,speech
alice           ,speech
communication   ,literature
communication   ,library
communication   ,book
communication   ,reading
communication   ,hair
director        ,literature
director        ,library
director        ,book
director        ,reading
director        ,hair
te              ,literature
te              ,library
te              ,book
te              ,reading
te              ,hair
cruz            ,literature
cruz            ,library
cruz            ,book
cruz            ,reading
cruz            ,hair
president       ,literature
president       ,library
president       ,book
president       ,reading
president       ,hair
hope            ,literature
hope            ,library
hope            ,book
hope            ,reading
hope            ,hair
join            ,literature
join            ,library
join            ,book
join            ,reading
join            ,hair
shortly         ,literature
shortly         ,library
shortly         ,book
shortly         ,reading
shortly         ,hair
democratic      ,literature
democratic      ,library
democratic      ,book
democratic      ,reading
democratic      ,hair
congressman     ,literature
congressman     ,library
congressman     ,book
congressman     ,reading
congressman     ,hair
I               ,literature
I               ,library
I               ,book
I               ,reading
I               ,hair
turn            ,literature
turn            ,library
turn            ,book
turn            ,reading
turn            ,hair
response        ,literature
response        ,library
response        ,book
response        ,reading
response        ,hair
disgust         ,brown hair
disgust         ,literature
disgust         ,book
disgust         ,reading
disgust         ,hair
frankly         ,brown hair
frankly         ,literature
frankly         ,book
frankly         ,reading
frankly         ,hair
like            ,brown hair
like            ,literature
like            ,book
like            ,reading
like            ,hair
america         ,brown hair
america         ,literature
america         ,book
america         ,reading
america         ,hair
exercise        ,brown hair
exercise        ,literature
exercise        ,book
exercise        ,reading
exercise        ,hair
democracy       ,brown hair
democracy       ,literature
democracy       ,book
democracy       ,reading
democracy       ,hair
vote            ,brown hair
vote            ,literature
vote            ,book
vote            ,reading
vote            ,hair
november        ,brown hair
november        ,literature
november        ,book
november        ,reading
november        ,hair
3rd             ,brown hair
3rd             ,literature
3rd             ,book
3rd             ,reading
3rd             ,hair
person          ,brown hair
person          ,literature
person          ,book
person          ,reading
person          ,hair
represent       ,brown hair
represent       ,literature
represent       ,book
represent       ,reading
represent       ,hair
view            ,brown hair
view            ,literature
view            ,book
view            ,reading
view            ,hair
value           ,brown hair
value           ,literature
value           ,book
value           ,reading
value           ,hair
policy          ,brown hair
policy          ,literature
policy          ,book
policy          ,reading
policy          ,hair
look            ,brown hair
look            ,literature
look            ,book
look            ,reading
look            ,hair
ed              ,brown hair
ed              ,literature
ed              ,book
ed              ,reading
ed              ,hair
I               ,brown hair
republican      ,brown hair
republican      ,literature
republican      ,book
republican      ,reading
republican      ,hair
president       ,brown hair
trump           ,brown hair
trump           ,literature
trump           ,book
trump           ,reading
trump           ,hair
recognize       ,brown hair
recognize       ,literature
recognize       ,book
recognize       ,reading
recognize       ,hair
fact            ,brown hair
fact            ,literature
fact            ,book
fact            ,reading
fact            ,hair
win             ,brown hair
win             ,literature
win             ,book
win             ,reading
win             ,hair
american        ,brown hair
american        ,literature
american        ,book
american        ,reading
american        ,hair
people          ,brown hair
people          ,literature
people          ,book
people          ,reading
people          ,hair
elect           ,brown hair
elect           ,literature
elect           ,book
elect           ,reading
elect           ,hair
joe             ,brown hair
joe             ,literature
joe             ,book
joe             ,reading
joe             ,hair
biden           ,brown hair
biden           ,literature
biden           ,book
biden           ,reading
biden           ,hair
happy           ,brown hair
happy           ,literature
happy           ,book
happy           ,reading
happy           ,hair
thrill          ,brown hair
thrill          ,literature
thrill          ,book
thrill          ,reading
thrill          ,hair
progress        ,brown hair
progress        ,literature
progress        ,book
progress        ,reading
progress        ,hair
stage           ,brown hair
stage           ,literature
stage           ,book
stage           ,reading
stage           ,hair
let             ,brown hair
let             ,literature
let             ,book
let             ,reading
let             ,hair
unfold          ,brown hair
unfold          ,literature
unfold          ,book
unfold          ,reading
unfold          ,hair
peaceful        ,brown hair
peaceful        ,literature
peaceful        ,book
peaceful        ,reading
peaceful        ,hair
transfer        ,brown hair
transfer        ,literature
transfer        ,book
transfer        ,reading
transfer        ,hair
power           ,brown hair
power           ,literature
power           ,book
power           ,reading
power           ,hair
presidentelect  ,brown hair
presidentelect  ,literature
presidentelect  ,book
presidentelect  ,reading
presidentelect  ,hair
unfortunate     ,brown hair
unfortunate     ,literature
unfortunate     ,book
unfortunate     ,reading
unfortunate     ,hair
thing           ,brown hair
thing           ,literature
thing           ,book
thing           ,reading
thing           ,hair
reason          ,brown hair
reason          ,literature
reason          ,book
reason          ,reading
reason          ,hair
refuse          ,brown hair
refuse          ,literature
refuse          ,book
refuse          ,reading
refuse          ,hair
acknowledge     ,brown hair
acknowledge     ,literature
acknowledge     ,book
acknowledge     ,reading
acknowledge     ,hair
truth           ,brown hair
truth           ,literature
truth           ,book
truth           ,reading
truth           ,hair
lose            ,brown hair
lose            ,literature
lose            ,book
lose            ,reading
lose            ,hair
continue        ,brown hair
continue        ,literature
continue        ,book
continue        ,reading
continue        ,hair
fraudulent      ,brown hair
fraudulent      ,literature
fraudulent      ,book
fraudulent      ,reading
fraudulent      ,hair
election        ,brown hair
election        ,literature
election        ,book
election        ,reading
election        ,hair
widespread      ,brown hair
widespread      ,literature
widespread      ,book
widespread      ,reading
widespread      ,hair
voter           ,brown hair
voter           ,literature
voter           ,book
voter           ,reading
voter           ,hair
fraud           ,brown hair
fraud           ,literature
fraud           ,book
fraud           ,reading
fraud           ,hair
think           ,brown hair
think           ,literature
think           ,book
think           ,reading
think           ,hair
today           ,brown hair
today           ,literature
today           ,book
today           ,reading
today           ,hair
figment         ,brown hair
figment         ,literature
figment         ,book
figment         ,reading
figment         ,hair
imagination     ,brown hair
imagination     ,literature
imagination     ,book
imagination     ,reading
imagination     ,hair
regard          ,brown hair
regard          ,literature
regard          ,book
regard          ,reading
regard          ,hair
ballot          ,brown hair
ballot          ,literature
ballot          ,book
ballot          ,reading
ballot          ,hair
country         ,brown hair
country         ,literature
country         ,book
country         ,reading
country         ,hair
invite          ,brown hair
invite          ,literature
invite          ,book
invite          ,reading
invite          ,hair
nation          ,brown hair
nation          ,literature
nation          ,book
nation          ,reading
nation          ,hair
capital         ,brown hair
capital         ,literature
capital         ,book
capital         ,reading
capital         ,hair
right           ,brown hair
right           ,literature
right           ,book
right           ,reading
right           ,hair
river           ,brown hair
river           ,literature
river           ,book
river           ,reading
river           ,hair
speak           ,brown hair
speak           ,literature
speak           ,book
speak           ,reading
speak           ,hair
valid           ,brown hair
valid           ,literature
valid           ,book
valid           ,reading
valid           ,hair
encourage       ,brown hair
encourage       ,literature
encourage       ,book
encourage       ,reading
encourage       ,hair
capitol         ,brown hair
capitol         ,literature
capitol         ,book
capitol         ,reading
capitol         ,hair
violence        ,brown hair
violence        ,literature
violence        ,book
violence        ,reading
violence        ,hair
break           ,brown hair
break           ,literature
break           ,book
break           ,reading
break           ,hair
tell            ,brown hair
tell            ,literature
tell            ,book
tell            ,reading
tell            ,hair
home            ,brown hair
home            ,literature
home            ,book
home            ,reading
home            ,hair
generally       ,brown hair
generally       ,literature
generally       ,book
generally       ,reading
generally       ,hair
play            ,brown hair
play            ,literature
play            ,book
play            ,reading
play            ,hair
world           ,brown hair
world           ,literature
world           ,book
world           ,reading
world           ,hair
help            ,brown hair
help            ,literature
help            ,book
help            ,reading
help            ,hair
figure          ,display device
scene           ,display device
decide          ,display device
like            ,display device
fiery           ,public speaking
fiery           ,speech
end             ,public speaking
end             ,speech
trumpism        ,public speaking
trumpism        ,speech
supporter       ,public speaking
supporter       ,speech
double          ,public speaking
double          ,speech
cling           ,public speaking
cling           ,speech
dear            ,public speaking
dear            ,speech
life            ,public speaking
life            ,speech
force           ,public speaking
force           ,speech
remain          ,public speaking
remain          ,speech
clearly         ,television
clearly         ,display device
clearly         ,television program
people          ,television
people          ,display device
people          ,television program
trip            ,brown hair
trip            ,literature
trip            ,eyebrow
trip            ,book
trip            ,reading
trip            ,hair
lot             ,brown hair
lot             ,literature
lot             ,eyebrow
lot             ,book
lot             ,reading
lot             ,hair
come            ,brown hair
come            ,literature
come            ,eyebrow
come            ,book
come            ,reading
come            ,hair
country         ,eyebrow
support         ,brown hair
support         ,literature
support         ,eyebrow
support         ,book
support         ,reading
support         ,hair
president       ,eyebrow
cog             ,brown hair
cog             ,literature
cog             ,eyebrow
cog             ,book
cog             ,reading
cog             ,hair
wheel           ,brown hair
wheel           ,literature
wheel           ,eyebrow
wheel           ,book
wheel           ,reading
wheel           ,hair
process         ,brown hair
process         ,literature
process         ,eyebrow
process         ,book
process         ,reading
process         ,hair
people          ,eyebrow
I               ,eyebrow
firmly          ,brown hair
firmly          ,literature
firmly          ,eyebrow
firmly          ,book
firmly          ,reading
firmly          ,hair
believe         ,brown hair
believe         ,literature
believe         ,eyebrow
believe         ,book
believe         ,reading
believe         ,hair
away            ,brown hair
away            ,literature
away            ,eyebrow
away            ,book
away            ,reading
away            ,hair
continue        ,eyebrow
stand           ,brown hair
stand           ,literature
stand           ,eyebrow
stand           ,book
stand           ,reading
stand           ,hair
man             ,brown hair
man             ,literature
man             ,eyebrow
man             ,book
man             ,reading
man             ,hair
republicans     ,brown hair
republicans     ,literature
republicans     ,eyebrow
republicans     ,book
republicans     ,reading
republicans     ,hair
like            ,eyebrow
party           ,brown hair
party           ,literature
party           ,eyebrow
party           ,book
party           ,reading
party           ,hair
policy          ,eyebrow
certainly       ,brown hair
certainly       ,literature
certainly       ,eyebrow
certainly       ,book
certainly       ,reading
certainly       ,hair
look            ,eyebrow
forward         ,brown hair
forward         ,literature
forward         ,eyebrow
forward         ,book
forward         ,reading
forward         ,hair
peaceful        ,eyebrow
transfer        ,eyebrow
power           ,eyebrow
learn           ,brown hair
learn           ,literature
learn           ,eyebrow
learn           ,book
learn           ,reading
learn           ,hair
mistake         ,brown hair
mistake         ,literature
mistake         ,eyebrow
mistake         ,book
mistake         ,reading
mistake         ,hair
election        ,eyebrow
thing           ,eyebrow
differently     ,brown hair
differently     ,literature
differently     ,eyebrow
differently     ,book
differently     ,reading
differently     ,hair
time            ,brown hair
time            ,literature
time            ,eyebrow
time            ,book
time            ,reading
time            ,hair
think           ,eyebrow
important       ,brown hair
important       ,literature
important       ,eyebrow
important       ,book
important       ,reading
important       ,hair
ask             ,brown hair
ask             ,literature
ask             ,eyebrow
ask             ,book
ask             ,reading
ask             ,hair
closely         ,brown hair
closely         ,literature
closely         ,eyebrow
closely         ,book
closely         ,reading
closely         ,hair
te              ,brown hair
te              ,eyebrow
communication   ,television
communication   ,display device
communication   ,television program
director        ,television
director        ,display device
director        ,television program
run             ,television
run             ,display device
run             ,television program
president       ,television
I               ,television
I               ,display device
I               ,television program
know            ,television
know            ,display device
know            ,television program
long            ,television
long            ,display device
long            ,television program
time            ,television
time            ,display device
time            ,television program
ago             ,television
ago             ,display device
ago             ,television program
action          ,news conference
action          ,politics
action          ,public speaking
action          ,speech
action          ,spokesperson
action          ,public relations
I               ,news conference
I               ,public speaking
I               ,spokesperson
I               ,public relations
mean            ,news conference
mean            ,politics
mean            ,public speaking
mean            ,speech
mean            ,spokesperson
mean            ,public relations
stand           ,news conference
stand           ,politics
stand           ,public speaking
stand           ,speech
stand           ,spokesperson
stand           ,public relations
congress        ,news conference
congress        ,politics
congress        ,public speaking
congress        ,speech
congress        ,spokesperson
congress        ,public relations
today           ,news conference
today           ,politics
today           ,public speaking
today           ,speech
today           ,spokesperson
today           ,public relations
challenge       ,news conference
challenge       ,politics
challenge       ,public speaking
challenge       ,speech
challenge       ,spokesperson
challenge       ,public relations
joe             ,news conference
joe             ,politics
joe             ,public speaking
joe             ,speech
joe             ,spokesperson
joe             ,public relations
biden           ,news conference
biden           ,politics
biden           ,public speaking
biden           ,spokesperson
biden           ,public relations
president       ,news conference
president       ,politics
president       ,public speaking
president       ,spokesperson
president       ,public relations
word            ,display device
word            ,television program
ear             ,display device
ear             ,television program
behavior        ,display device
behavior        ,television program
large           ,brown hair
large           ,literature
large           ,book
large           ,reading
large           ,hair
number          ,brown hair
number          ,literature
number          ,book
number          ,reading
number          ,hair
share           ,brown hair
share           ,literature
share           ,book
share           ,reading
share           ,hair
happen          ,brown hair
happen          ,literature
happen          ,book
happen          ,reading
happen          ,hair
reporter        ,brown hair
reporter        ,literature
reporter        ,book
reporter        ,reading
reporter        ,hair
phenomenal      ,brown hair
phenomenal      ,literature
phenomenal      ,book
phenomenal      ,reading
phenomenal      ,hair
job             ,brown hair
job             ,literature
job             ,book
job             ,reading
job             ,hair
explain         ,brown hair
explain         ,literature
explain         ,book
explain         ,reading
explain         ,hair
congress        ,brown hair
congress        ,literature
congress        ,book
congress        ,reading
congress        ,hair
normally        ,brown hair
normally        ,literature
normally        ,book
normally        ,reading
normally        ,hair
day             ,brown hair
day             ,literature
day             ,book
day             ,reading
day             ,hair
member          ,brown hair
member          ,literature
member          ,book
member          ,reading
member          ,hair
count           ,brown hair
count           ,literature
count           ,book
count           ,reading
count           ,hair
electoral       ,brown hair
electoral       ,literature
electoral       ,book
electoral       ,reading
electoral       ,hair
pass            ,brown hair
pass            ,literature
pass            ,book
pass            ,reading
pass            ,hair
torch           ,brown hair
torch           ,literature
torch           ,book
torch           ,reading
torch           ,hair
incoming        ,brown hair
incoming        ,literature
incoming        ,book
incoming        ,reading
incoming        ,hair
administration  ,brown hair
administration  ,literature
administration  ,book
administration  ,reading
administration  ,hair
cruz            ,brown hair
feel            ,brown hair
feel            ,literature
feel            ,book
feel            ,reading
feel            ,hair
challenge       ,brown hair
challenge       ,literature
challenge       ,book
challenge       ,reading
challenge       ,hair
constituent     ,brown hair
constituent     ,literature
constituent     ,book
constituent     ,reading
constituent     ,hair
honest          ,brown hair
honest          ,literature
honest          ,book
honest          ,reading
honest          ,hair
interrupt       ,brown hair
interrupt       ,literature
interrupt       ,book
interrupt       ,reading
interrupt       ,hair
feel            ,television
feel            ,display device
feel            ,television program
valid           ,television
valid           ,display device
valid           ,television program
mean            ,television
mean            ,display device
mean            ,television program
surely          ,television
surely          ,display device
surely          ,television program
past            ,television
past            ,display device
past            ,television program
mmm             ,television
mmm             ,display device
mmm             ,television program
election        ,television
election        ,display device
election        ,television program
america         ,television
america         ,display device
america         ,television program
deliver         ,television
deliver         ,display device
deliver         ,television program
party           ,television
party           ,display device
party           ,television program
wish            ,television
wish            ,display device
wish            ,television program
think           ,television
think           ,display device
think           ,television program
smart           ,television
smart           ,display device
smart           ,television program
thing           ,television
thing           ,display device
thing           ,television program
people          ,library
certainly       ,library
look            ,library
rare            ,brown hair
rare            ,literature
rare            ,library
rare            ,book
rare            ,reading
rare            ,hair
instance        ,brown hair
instance        ,literature
instance        ,library
instance        ,book
instance        ,reading
instance        ,hair
voter           ,library
fraud           ,library
irregularity    ,brown hair
irregularity    ,literature
irregularity    ,library
irregularity    ,book
irregularity    ,reading
irregularity    ,hair
near            ,brown hair
near            ,literature
near            ,library
near            ,book
near            ,reading
near            ,hair
level           ,brown hair
level           ,literature
level           ,library
level           ,book
level           ,reading
level           ,hair
widespread      ,library
spread          ,brown hair
spread          ,literature
spread          ,library
spread          ,book
spread          ,reading
spread          ,hair
allege          ,brown hair
allege          ,literature
allege          ,library
allege          ,book
allege          ,reading
allege          ,hair
think           ,library
important       ,library
thing           ,library
mind            ,brown hair
mind            ,literature
mind            ,library
mind            ,book
mind            ,reading
mind            ,hair
lot             ,library
faith           ,brown hair
faith           ,literature
faith           ,library
faith           ,book
faith           ,reading
faith           ,hair
confidence      ,brown hair
confidence      ,literature
confidence      ,library
confidence      ,book
confidence      ,reading
confidence      ,hair
integrity       ,brown hair
integrity       ,literature
integrity       ,library
integrity       ,book
integrity       ,reading
integrity       ,hair
america         ,library
election        ,library
today           ,library
republicans     ,library
feel            ,library
constitution    ,brown hair
constitution    ,literature
constitution    ,library
constitution    ,book
constitution    ,reading
